Date,Period,Day-Ahead Price
2013-01-13,40,48.06
2013-01-13,41,48.06
2013-01-13,42,46.02
2013-01-13,43,46.02
2013-01-13,44,38.02
2013-01-13,45,38.02
2013-01-13,46,45.09
2013-01-13,47,45.09
2013-01-14,0,42.67
2013-01-14,1,42.67
2013-01-14,2,39.98
2013-01-14,3,39.98
2013-01-14,4,38
2013-01-14,5,38
2013-01-14,6,35.19
2013-01-14,7,35.19
2013-01-14,8,32.96
2013-01-14,9,32.96
2013-01-14,10,37.47
2013-01-14,11,37.47
2013-01-14,12,54.92
2013-01-14,13,54.92
2013-01-14,14,54.92
2013-01-14,15,54.92
2013-01-14,16,56.11
2013-01-14,17,56.11
2013-01-14,18,56.29
2013-01-14,19,56.29
2013-01-14,20,56.52
2013-01-14,21,56.52
2013-01-14,22,57.91
2013-01-14,23,57.91
2013-01-14,24,56.91
2013-01-14,25,56.91
2013-01-14,26,51.93
2013-01-14,27,51.93
2013-01-14,28,45.7
2013-01-14,29,45.7
2013-01-14,30,46.53
2013-01-14,31,46.53
2013-01-14,32,85.06
2013-01-14,33,85.06
2013-01-14,34,99.99
2013-01-14,35,99.99
2013-01-14,36,64.94
2013-01-14,37,64.94
2013-01-14,38,56.11
2013-01-14,39,56.11
2013-01-14,40,53.53
2013-01-14,41,53.53
2013-01-14,42,50.03
2013-01-14,43,50.03
2013-01-14,44,45.48
2013-01-14,45,45.48
2013-01-14,46,43.99
2013-01-14,47,43.99
2013-01-15,0,39.99
2013-01-15,1,39.99
2013-01-15,2,37.95
2013-01-15,3,37.95
2013-01-15,4,35.04
2013-01-15,5,35.04
2013-01-15,6,36.93
2013-01-15,7,36.93
2013-01-15,8,34.93
2013-01-15,9,34.93
2013-01-15,10,44.9
2013-01-15,11,44.9
2013-01-15,12,53.96
2013-01-15,13,53.96
2013-01-15,14,54.99
2013-01-15,15,54.99
2013-01-15,16,52.49
2013-01-15,17,52.49
2013-01-15,18,53.06
2013-01-15,19,53.06
2013-01-15,20,54.05
2013-01-15,21,54.05
