Date,Period,SSP,SBP
2013-01-09,32,40.26489,53.4
2013-01-09,33,39.96704,51.89
2013-01-09,34,41.45781,95.8
2013-01-09,35,117.53,130.33661
2013-01-09,36,50.10884,103.96
2013-01-09,37,87.65,105.44094
2013-01-09,38,40.47875,75.13
2013-01-09,39,40.35158,59.3
2013-01-09,40,40.22009,57.56
2013-01-09,41,40.31579,54.39
2013-01-09,42,40.00391,54.97
2013-01-09,43,40.4,55.08
2013-01-09,44,51.17,52.51466
2013-01-09,45,39.90539,49.6
2013-01-09,46,39.17893,47.88
2013-01-09,47,33.25764,48.36
2013-01-09,48,32.38706,45.97
2013-01-10,1,50.06,58.82178
2013-01-10,2,51.15,62.64799
2013-01-10,3,52.8,62.45769
2013-01-10,4,32,47.99
2013-01-10,5,32,44.18
2013-01-10,6,45,45
2013-01-10,7,37.36,45
2013-01-10,8,30.7096,36.62
2013-01-10,9,31.71683,37.2
2013-01-10,10,30.55816,37.45
2013-01-10,11,32.37615,43.88
2013-01-10,12,32.03849,44.04
2013-01-10,13,33.3502,45.16
2013-01-10,14,38.69458,50.63
2013-01-10,15,39.15621,47.5
2013-01-10,16,41.44718,50.55
2013-01-10,17,41.43892,50.51
2013-01-10,18,40.04183,49.2
2013-01-10,19,40.30062,52.76
2013-01-10,20,52.77,66.79946
2013-01-10,21,51.14,72.28
2013-01-10,22,51.27,64.7567
2013-01-10,23,46.99,81.98494
2013-01-10,24,47.2,73.92227
2013-01-10,25,47.57,72.02351
2013-01-10,26,47.05,71.85293
2013-01-10,27,46.63,68.39681
2013-01-10,28,46.02,64.82127
2013-01-10,29,44.99,65.32008
2013-01-10,30,44.27,61.70628
2013-01-10,31,52.86,61.35054
2013-01-10,32,54.47,61.41203
2013-01-10,33,41.25968,53.61
2013-01-10,34,42.35404,70.3
2013-01-10,35,41.76011,77.19
2013-01-10,36,41.66271,73.55
2013-01-10,37,41.62704,68.25
2013-01-10,38,41.63024,63.13
2013-01-10,39,41.53799,51.95
2013-01-10,40,41.11032,51.17
2013-01-10,41,41.02684,51.1
2013-01-10,42,40.88996,50.45
2013-01-10,43,41.20354,49.48
2013-01-10,44,49.3,60.07131
2013-01-10,45,48.43,59.95
2013-01-10,46,39.1057,45.08
2013-01-10,47,38.86141,41.4
2013-01-10,48,32.99959,39.9
2013-01-11,1,32.64171,46.13
2013-01-11,2,33.04936,46.37
2013-01-11,3,33.39655,46.62
2013-01-11,4,33.24127,40.4
2013-01-11,5,31.2057,39.56
2013-01-11,6,30.31676,40.42
2013-01-11,7,29.65556,34.93
2013-01-11,8,29.52771,34.08
2013-01-11,9,29.20262,33.22
2013-01-11,10,28.89948,33.66
2013-01-11,11,29.3559,43.67
2013-01-11,12,30.43002,42.8
2013-01-11,13,48.96,59.36641
2013-01-11,14,51.68,60.1998
2013-01-11,15,44.47,67.59706
2013-01-11,16,45.98,88.39848
2013-01-11,17,47.92,117.84139
2013-01-11,18,40.96302,46.44
2013-01-11,19,40.78598,49.39
2013-01-11,20,40.61,50.77
2013-01-11,21,41.55,54.78
2013-01-11,22,59.21,67.87
2013-01-11,23,61.76,66.17
2013-01-11,24,41.55,58.24
2013-01-11,25,40.54819,55.66
2013-01-11,26,40.78445,53.42
2013-01-11,27,40.98887,47.04
2013-01-11,28,40.35827,46.78
2013-01-11,29,41.01899,45.84
2013-01-11,30,40.50074,45.48
2013-01-11,31,39.48398,46.97
2013-01-11,32,39.71307,46.81
2013-01-11,33,38.85123,50.88
2013-01-11,34,41.15185,58.98
2013-01-11,35,41.46925,65.7
2013-01-11,36,41.40447,62.8
2013-01-11,37,41.45931,54.87
2013-01-11,38,41.3923,51.95
2013-01-11,39,40.97346,50.14
2013-01-11,40,40.49094,48.71
2013-01-11,41,41.25,49.54
2013-01-11,42,40.14634,49
2013-01-11,43,41.25,47.98
2013-01-11,44,48.55,60
2013-01-11,45,48.16281,48.16281
2013-01-11,46,39.41286,46.72
2013-01-11,47,39.03986,44.64
2013-01-11,48,37.66289,42.97
2013-01-12,1,33.87768,42.64
2013-01-12,2,32.66608,43.11
